Date Local,Site Num,Arithmetic Mean,AQI,Latitude,Longitude
2023-11-17,4002,6.3,35.0,35.050918,-85.293019
2023-11-20,4002,7.7,43.0,35.050918,-85.293019
2023-11-23,4002,6.7,37.0,35.050918,-85.293019
2023-11-26,4002,9.8,52.0,35.050918,-85.293019
2023-11-29,4002,8.0,44.0,35.050918,-85.293019
2023-12-02,4002,8.5,47.0,35.050918,-85.293019
2023-12-05,4002,5.5,31.0,35.050918,-85.293019
2023-12-08,4002,13.1,58.0,35.050918,-85.293019
2023-12-11,4002,3.4,19.0,35.050918,-85.293019
2023-12-16,4002,11.8,56.0,35.050918,-85.293019
2023-12-17,4002,3.8,21.0,35.050918,-85.293019
2023-12-20,4002,13.4,59.0,35.050918,-85.293019
2023-12-23,4002,17.0,66.0,35.050918,-85.293019
2023-12-26,4002,2.1,12.0,35.050918,-85.293019
2023-12-29,4002,3.3,18.0,35.050918,-85.293019
2023-01-06,4002,3.1,17.0,35.050918,-85.293019
2023-01-12,4002,5.2,29.0,35.050918,-85.293019
2023-01-18,4002,11.7,56.0,35.050918,-85.293019
2023-01-24,4002,6.7,37.0,35.050918,-85.293019
2023-01-30,4002,12.7,58.0,35.050918,-85.293019
2023-02-05,4002,0.0,0.0,35.050918,-85.293019
2023-02-11,4002,4.2,23.0,35.050918,-85.293019
2023-02-17,4002,2.1,12.0,35.050918,-85.293019
2023-02-23,4002,10.5,54.0,35.050918,-85.293019
2023-03-01,4002,16.7,65.0,35.050918,-85.293019
2023-03-10,4002,9.1,51.0,35.050918,-85.293019
2023-03-13,4002,3.2,18.0,35.050918,-85.293019
2023-03-19,4002,3.4,19.0,35.050918,-85.293019
2023-03-31,4002,11.8,56.0,35.050918,-85.293019
2023-04-01,4002,5.6,31.0,35.050918,-85.293019
2023-04-12,4002,10.9,54.0,35.050918,-85.293019
2023-04-13,4002,13.1,58.0,35.050918,-85.293019
2023-04-18,4002,6.7,37.0,35.050918,-85.293019
2023-04-24,4002,4.9,27.0,35.050918,-85.293019
2023-04-30,4002,5.1,28.0,35.050918,-85.293019
2023-05-06,4002,9.6,52.0,35.050918,-85.293019
2023-05-12,4002,8.9,49.0,35.050918,-85.293019
2023-05-18,4002,9.0,50.0,35.050918,-85.293019
2023-05-24,4002,16.2,64.0,35.050918,-85.293019
2023-05-30,4002,6.1,34.0,35.050918,-85.293019
2023-06-05,4002,11.7,56.0,35.050918,-85.293019
2023-06-11,4002,16.0,64.0,35.050918,-85.293019
