Geography,Median Household Income ($),Civilian Labor Force (%),Unemployment Rate (%)
Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Percent!!EMPLOYMENT STATUS!!Population 16 years and over,Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed
"Chattanooga city, Tennessee",61028,148496,3.2
